id,category,question,questionType,answer,explanation,difficulty
54,historia,Los tratados de cordoba se celebran el 15 de Septiembre,VF,1,24 de Agosto,1
55,historia,La revolución mexicana se inicio en Queretaro,VF,1,Puebla,0
56,historia,La consumacion de la independencia fue el 16 de Septiembre de 1821,VF,1,27 de Septiembre 1827,0
57,historia,Los incas inventaron el quipu,VF,0,Los incas inventaron el quipu,1
58,historia,El grito de la independencia fue en dolores hidalgo.,VF,0,El grito de la independencia fue en dolores hidalgo.,0
59,ciencia,Los vasos sanguíneos mas finos son las arterias.,VF,1,Camilares,1
60,entretenimiento,El primer IPOD fué presentado en 1999,VF,1,2001,1
61,ciencia,Una mano tiene 27 huesos y 35 musculos,VF,0,Una mano tiene 27 huesos y 35 musculos,2
62,ciencia,El agua no tiene calorias,VF,0,El agua no tiene calorias,1
63,ciencia,Un angulo recto mide 180 grados,VF,1,90 grados,1
64,ciencia,Volt es la unidad de resistencia electrica,VF,1,Ohmio,1
65,ciencia,El pancreas es el organo mas dañado por el consumo de alcohol excesivo,VF,1,Higado,1
66,ciencia,La monofobia es el miedo a la soledad.,VF,0,La monofobia es el miedo a la soledad.,2
67,entretenimiento,El mago de Oz vivia es Ciudad Esmeralda,VF,0,El mago de Oz vivia es Ciudad Esmeralda,0
68,historia,El emperador moctezuna era de Oaxaca,VF,1,Teotihuacan,1
69,arte,"Homero es el autor de ""La Iliada""",VF,0,"Homero es el autor de ""La Iliada""",1
70,historia,Hubo 14 guerras púnicas,VF,1,3,2
